section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913489032e+18,545.107,435.018,1,1.0,,-0.0790344299756809,6.79475242259665
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913489435e+18,543.439,439.295,1,1.0,,-0.204635426056769,6.473494631733
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913490231e+18,544.274,436.48,1,1.0,,-0.141785166302351,6.6849235327514
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913490615e+18,545.153,435.52,1,1.0,,-0.0755884390619658,6.7570730240731
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913491045e+18,546.259,434.295,1,1.0,,0.0077584345091515,6.84905984943211
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913491433e+18,547.3,432.474,1,1.0,,0.0862433461331365,6.98578028409984
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913492236e+18,549.724,437.278,1,1.0,,0.268919141462176,6.62489965765359
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913492649e+18,551.114,441.133,1,1.0,,0.373511474305858,6.33534509674343
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913493043e+18,551.935,439.871,1,1.0,,0.435394620864544,6.4300662938296
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913493444e+18,552.528,438.138,1,1.0,,0.480128541615772,6.56019906687715
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913494232e+18,554.143,433.676,1,1.0,,0.601991307885007,6.89529217280596
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913494632e+18,553.029,432.127,1,1.0,,0.518125413992927,7.01174776294293
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913495013e+18,552.894,429.649,1,1.0,,0.508088722403701,7.19789040365808
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913495418e+18,553.397,428.076,1,1.0,,0.546080940830033,7.31596838880687
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913496212e+18,554.645,424.558,1,1.0,1.0,0.640400842269582,7.58020491556705
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913496624e+18,554.738,423.91,1,1.0,1.0,0.647450948089106,7.62888505418612
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913497019e+18,554.737,422.466,1,1.0,1.0,0.647488295916379,7.7373648688621
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913497444e+18,557.028,421.192,1,1.0,1.0,0.820478282518756,7.8329020858017
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913498216e+18,554.332,419.15,1,,1.0,0.617154105460291,7.98640702311549
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913498613e+18,549.472,414.802,1,,1.0,0.250248589123481,8.31322895281627
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913499016e+18,533.353,401.411,1,,1.0,-0.969472031203266,9.31914073053165
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913499414e+18,528.917,396.417,1,,1.0,-1.30625094172228,9.69404205910043
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913500218e+18,520.556,389.535,1,,1.0,-1.94181791801578,10.2101507318735
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913500613e+18,510.266,385.312,1,,1.0,-2.72401213153722,10.5257367719166
