section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913466447e+18,505.037,574.973,1,1.0,,0.880725247798644,-1.40492116803025
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913466854e+18,504.977,575.567,1,1.0,,0.87617036903839,-1.44945732767394
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.6903091346725e+18,504.979,576.286,1,1.0,,0.876353834093051,-1.50341222115085
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913468047e+18,503.664,576.476,1,1.0,,0.777852484190414,-1.51769567663581
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913468476e+18,503.272,577.249,1,1.0,,0.748491242986062,-1.57565599270321
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.6903091346885e+18,502.699,578.204,1,1.0,,0.705533764257663,-1.64724913803408
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913469265e+18,501.152,579.178,1,1.0,,0.589607539796629,-1.7203358890575
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913470063e+18,500.337,579.776,1,1.0,,0.528570943226619,-1.76517285552656
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913470436e+18,499.969,579.799,1,1.0,,0.501005084917107,-1.76693858345924
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913470838e+18,499.215,580.255,1,1.0,,0.444468125605696,-1.80113694602705
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913471238e+18,497.773,580.383,1,1.0,,0.33637297355963,-1.81071013074009
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.6903091347207e+18,496.703,580.447,1,1.0,,0.256174943135053,-1.81550933483478
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.6903091347246e+18,496.926,580.497,1,1.0,,0.272944514152028,-1.81931169314963
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913472853e+18,496.981,580.433,1,1.0,,0.277067905742753,-1.81446400354849
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913473251e+18,497.136,580.111,1,1.0,,0.288648182521148,-1.79031842532578
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.6903091347404e+18,497.453,580.318,1,1.0,,0.312410316826992,-1.80585133112198
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913474445e+18,497.628,580.895,1,1.0,,0.325523926914445,-1.84912730816639
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913474844e+18,497.768,580.959,1,1.0,,0.336036144773714,-1.85390034404851
