section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914584743e+18,-1.52439,-7.865854,0.182927,-0.07135,-0.921387,0.315796,11.1824554087935,18.9018793706026,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914585237e+18,-1.768293,-8.04878,0.426829,-0.07428,-0.922424,0.314026,11.5045987659532,18.7048885091918,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914585731e+18,-1.707317,-8.231708,0.365854,-0.072388,-0.921326,0.315674,11.2112681175506,18.9305844328857,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914586225e+18,-1.890244,-8.231708,0.365854,-0.068604,-0.918457,0.313477,10.8469285353372,18.7443458512635,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914586719e+18,-1.890244,-8.170732,0.426829,-0.073242,-0.91803,0.315857,11.1870900205328,18.9194881909807,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914587213e+18,-1.890244,-8.353659,0.487805,-0.070251,-0.919312,0.320557,11.1150039520967,19.2212514744803,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914587707e+18,-1.890244,-8.47561,0.426829,-0.071289,-0.921753,0.318909,11.2430980492423,18.9223985486791,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914588201e+18,-2.073171,-8.536586,0.365854,-0.072327,-0.920044,0.317505,11.2491918884597,19.2274217764509,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914588695e+18,-1.95122,-8.658537,0.487805,-0.073059,-0.918457,0.317505,11.3338315544136,18.9187791906317,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914589189e+18,-2.012195,-8.841464,0.792683,-0.072144,-0.914307,0.317505,11.230133788175,19.2156243117942,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914589683e+18,-2.195122,-8.963415,0.97561,-0.071472,-0.917114,0.315552,11.1991123256839,18.8968194791783,,,,,
